0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:46:06 +0900] "GET /0112_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:46:06 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:46:40 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:46:40 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:47:04 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:47:04 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:47:56 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:47:56 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:48:17 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:48:17 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:53:24 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:53:24 +0900] "GET /0112_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:53:24 +0900] "GET /0112_bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:53:24 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:53:52 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:53:52 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:57:50 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:57:50 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:58:22 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2821
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:58:22 +0900] "GET /0112_bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:58:22 +0900] "GET /0112_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:58:22 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:58:32 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2821
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:58:32 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:01:12 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:01:12 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:01:26 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:01:26 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:02:44 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:02:44 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:03:03 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:03:03 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:03:21 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:03:21 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:06:14 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:06:15 +0900] "GET /0112_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:06:15 +0900] "GET /0112_bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:06:15 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:06:38 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:07:09 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:07:56 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:10:35 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:15:27 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:15:27 +0900] "GET /0112_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:15:27 +0900] "GET /0112_bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:18:18 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:18:51 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3109
